0.8, expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"'))))
0.5, block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}')
0.5, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';')
0.5, 'false'
0.5, 'test'
0.5, 'n2'
0.5, expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false'))))
0.5, '"c"'
0.5, classDeclaration('class',identifier('PrimitiveToString'),classBody('{',classBodyDeclaration(modifier(modifier(classOrInterfaceModifier('public'))),memberDeclaration(methodDeclaration(typeTypeOrVoid('void'),identifier('test'),formalParameters('(',')'),methodBody(block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}'))))),'}'))
0.5, expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1')))))
0.5, variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"'))))))
0.5, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';')
0.5, variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false'))))))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false'))))))))
0.5, 'void'
0.5, formalParameters('(',')')
0.5, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';')
0.5, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';')
0.5, 'n0'
0.5, variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2')))))))
0.5, classBodyDeclaration(modifier(modifier(classOrInterfaceModifier('public'))),memberDeclaration(methodDeclaration(typeTypeOrVoid('void'),identifier('test'),formalParameters('(',')'),methodBody(block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}')))))
0.5, '"d"'
0.5, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';')
0.5, expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2')))))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"'))))))))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3')))))))))
0.5, methodDeclaration(typeTypeOrVoid('void'),identifier('test'),formalParameters('(',')'),methodBody(block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}')))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2')))))))))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1')))))))))
0.5, variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"'))))))
0.5, localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"'))))))))
0.5, expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3')))))
0.5, 'PrimitiveToString'
0.5, variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3')))))))
0.5, 'z'
0.2, typeDeclaration(classOrInterfaceModifier(classOrInterfaceModifier('public')),classDeclaration('class',identifier('PrimitiveToString'),classBody('{',classBodyDeclaration(modifier(modifier(classOrInterfaceModifier('public'))),memberDeclaration(methodDeclaration(typeTypeOrVoid('void'),identifier('test'),formalParameters('(',')'),methodBody(block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}'))))),'}')))
